Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9749857873791927,0.8429752066115702,0.5964912280701754,0.6986301369863014
Balanced Linear SVM,0.9673109721432632,0.6386138613861386,0.7543859649122807,0.6916890080428955
Random Forest,0.9758385446276293,0.9886363636363636,0.5087719298245614,0.6718146718146718
Logistic Regression,0.9678794769755543,0.9142857142857143,0.3742690058479532,0.5311203319502075
Naive Bayes,0.9656054576463899,0.9032258064516129,0.32748538011695905,0.48068669527896996
